Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
29-JUN-2026,ACSTECH,A C S Technologies Ltd.,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,SELL,"3,67,139",46.89,-
29-JUN-2026,ACSTECH,A C S Technologies Ltd.,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,"5,50,000",44.03,-
29-JUN-2026,ACSTECH,A C S Technologies Ltd.,NEXTA ENTERPRISES LLP,SELL,"5,00,000",47.07,-
29-JUN-2026,AGIIL,Agi Infra Limited,ARIHANT CAPITAL MARKETS LIMITED,SELL,"7,73,674",372.13,-
29-JUN-2026,AGIIL,Agi Infra Limited,ARIHANT CAPITAL MARKETS LIMITED,BUY,"8,34,275",371.92,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,BUY,"14,07,629",29.75,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,ALTIZEN VENTURES LLP,SELL,"14,84,302",28.58,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,BUY,"5,33,023",28.88,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,HRTI PRIVATE LIMITED,SELL,"13,29,797",29.37,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,L7 HITECH PRIVATE LIMITED,SELL,"1,47,997",29.34,-
29-JUN-2026,ATALREAL,Atal Realtech Limited,L7 HITECH PRIVATE LIMITED,BUY,"8,16,000",28.47,-
29-JUN-2026,AURIGROW,Auri Grow India Limited,ABHISHEK  CHOWDHURY,SELL,"1,15,60,531",0.30,-
29-JUN-2026,AURIGROW,Auri Grow India Limited,TRANSGLOBAL SECURITIES LTD,SELL,"50,07,344",0.30,-
29-JUN-2026,AURIGROW,Auri Grow India Limited,TRANSGLOBAL SECURITIES LTD,BUY,"1,00,00,000",0.31,-
29-JUN-2026,AVIENCE,Avience Biomedicals Ltd,GREEN PEAKS ENTERPRISES LLP,SELL,"42,000",394.25,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,BLITZQUANT RESEARCH LLP,BUY,"2,98,201",346.86,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,BLITZQUANT RESEARCH LLP,SELL,"2,98,201",347.05,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,GRT STRATEGIC VENTURES LLP,SELL,"2,14,778",347.33,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,GRT STRATEGIC VENTURES LLP,BUY,"2,14,778",347.06,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,IRAGE BROKING SERVICES LLP,SELL,"1,80,709",347.28,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,IRAGE BROKING SERVICES LLP,BUY,"1,91,534",347.84,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,"1,81,281",348.90,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,"1,81,281",348.05,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,"4,76,567",347.91,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"4,80,860",347.67,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,MICROCURVES TRADING PRIVATE LIMITED,SELL,"4,53,096",347.59,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,"4,53,096",347.27,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,"7,23,881",346.96,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,"7,23,881",347.17,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,QE SECURITIES LLP,SELL,"5,27,379",345.48,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,QE SECURITIES LLP,BUY,"5,27,910",347.89,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,VINSUL MAKARDI LTD,SELL,"1,69,688",348.07,-
29-JUN-2026,BAJAJHCARE,Bajaj Healthcare Limited,VINSUL MAKARDI LTD,BUY,"1,69,688",347.43,-
