symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
BAJFINANCE,BAJFINANCEEQN,1141.2,8.32,40814590,40814590,45855191865.0,1053.5,30-Jun-2026,,1151.5,787.9,87.7,1095.0,1141.2,1151.5,1083.6,2026-07-31 16:00:29,value
INDOMIM,INDOMIMEQN,771.8,4.05,27057625,27057625,21203166678.75,741.75,,,815.9,700.0,30.05,735.0,776.15,815.9,725.0,2026-07-31 16:00:29,value
M&M,M&MEQN,3393.0,3.33,6131873,6131873,20793058705.54,3283.7,03-Jul-2026,,3839.9,2896.0,109.3,3379.9,3398.5,3457.0,3243.3,2026-07-31 16:00:29,value
NETWEB,NETWEBEQN,4510.0,7.5,4510774,4510774,20327803031.0,4195.2,22-Aug-2025,,5244.0,1949.0,314.8,4300.0,4524.0,4598.0,4252.0,2026-07-31 16:00:29,value
HDFCBANK,HDFCBANKEQN,748.0,-0.79,25522483,25522483,19132163706.46,753.95,19-Jun-2026,,1020.5,726.65,-5.95,753.95,748.15,757.55,747.2,2026-07-31 16:00:29,value
SHADOWFAX,SHADOWFAXEQN,242.8,10.28,72781395,72781395,17613825403.95,220.17,,,253.76,98.55,22.63,222.4,242.9,253.76,219.72,2026-07-31 16:00:29,value
INFY,INFYEQN,1129.9,-2.18,14367075,14367075,16207640978.25,1155.1,10-Jun-2026,,1728.0,982.4,-25.2,1118.9,1130.1,1139.3,1107.2,2026-07-31 16:00:29,value
KALYANKJIL,KALYANKJILEQN,613.3,-3.36,23711127,23711127,14775588790.05,634.6,04-Sep-2025,,648.95,327.05,-21.3,634.6,612.6,638.4,610.05,2026-07-31 16:00:29,value
THERMAX,THERMAXEQN,4300.0,1.14,3745682,3745682,14751844161.52,4251.5,03-Jul-2026,,5277.8,2742.7,48.5,3892.0,4306.0,4489.0,3566.5,2026-07-31 16:00:29,value
SWIGGY,SWIGGYEQN,284.78,-3.76,46812931,46812931,13485401033.17,295.91,,,474.0,235.75,-11.13,290.0,284.86,294.59,280.2,2026-07-31 16:00:29,value
BHARTIARTL,BHARTIARTLEQN,1968.0,0.57,6529385,6529385,12840492659.45,1956.8,24-Jul-2026,,2174.5,1740.5,11.2,1969.0,1972.0,1976.4,1947.4,2026-07-31 16:00:29,value
TVSMOTOR,TVSMOTOREQN,4311.0,2.44,2991859,2991859,12828911880.46,4208.4,30-Mar-2026,,4325.0,2754.5,102.6,4208.4,4313.1,4325.0,4198.0,2026-07-31 16:00:29,value
63MOONS,63MOONSEQN,947.0,11.76,13988219,13988219,12825378354.53,847.35,17-Sep-2025,,1029.9,467.0,99.65,852.7,931.4,950.0,850.0,2026-07-31 16:00:29,value
ICICIBANK,ICICIBANKEQN,1433.9,0.0,8752440,8752440,12559226253.6,1433.9,03-Aug-2026,,1494.5,1187.6,0.0,1434.3,1435.4,1441.9,1431.4,2026-07-31 16:00:29,value
KAYNES,KAYNESEQN,3785.0,4.51,3267041,3267041,12382640786.97,3621.5,08-Sep-2023,,7705.0,2995.0,163.5,3644.6,3804.6,3859.8,3622.2,2026-07-31 16:00:29,value
HYUNDAI,HYUNDAIEQN,2183.0,8.17,5531547,5531547,12036480325.59,2018.2,05-Aug-2026,,2890.0,1658.0,164.8,2099.0,2180.7,2208.0,2090.0,2026-07-31 16:00:29,value
ETERNAL,ETERNALEQN,302.65,-2.58,36770653,36770653,11248142752.7,310.65,,,368.45,212.6,-8.0,312.5,302.45,316.0,301.8,2026-07-31 16:00:29,value
RELIANCE,RELIANCEEQN,1305.0,0.94,8624996,8624996,11239146037.64,1292.9,05-Jun-2026,,1611.8,1249.8,12.1,1295.0,1307.8,1309.7,1293.6,2026-07-31 16:00:29,value
SBIN,SBINEQN,1027.6,0.22,10921417,10921417,11223394180.05,1025.3,15-May-2026,,1234.7,786.55,2.3,1028.1,1027.4,1034.3,1023.5,2026-07-31 16:00:29,value
JIOFIN,JIOFINEQN,256.1,3.71,42840807,42840807,10849005964.68,246.95,11-Aug-2025,,338.6,223.3,9.15,247.5,256.46,257.06,247.0,2026-07-31 16:00:29,value
