symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
HDFCBANK,HDFCBANKEQN,742.5,-0.28,47996441,47996441,35694953171.7,744.55,19-Jun-2026,,1020.5,726.65,-2.05,749.0,742.7,752.35,739.2,2026-06-01 16:00:25,value
WOCKPHARMA,WOCKPHARMAEQN,2138.0,5.25,11806406,11806406,26502902124.74,2031.4,21-Jun-2024,,2422.3,1086.7,106.6,2377.0,2152.9,2422.3,2126.4,2026-06-01 16:00:25,value
INFY,INFYEQN,1203.5,3.67,19439331,19439331,23428476114.51,1160.9,10-Jun-2026,,1728.0,1089.0,42.6,1175.0,1202.5,1217.0,1173.7,2026-06-01 16:00:25,value
COALINDIA,COALINDIAEQN,473.25,3.35,47716517,47716517,22355665379.67,457.9,18-Feb-2026,,491.25,368.65,15.35,456.55,472.6,477.0,456.55,2026-06-01 16:00:25,value
NETWEB,NETWEBEQN,4603.4,-1.44,4576123,4576123,21519264168.73,4670.7,22-Aug-2025,,4925.7,1700.1,-67.3,4691.8,4620.1,4925.7,4536.0,2026-06-01 16:00:25,value
TCS,TCSEQN,2296.4,1.66,7505095,7505095,17267797626.95,2258.9,25-May-2026,,3538.0,2206.4,37.5,2284.0,2297.4,2335.0,2280.0,2026-06-01 16:00:25,value
M&M,M&MEQN,2970.0,-2.48,5763247,5763247,17256371799.87,3045.6,04-Jul-2025,,3839.9,2896.0,-75.6,3050.0,2970.2,3068.9,2961.0,2026-06-01 16:00:25,value
MTARTECH,MTARTECHEQN,7175.0,-8.94,2058122,2058122,15144320275.04,7879.5,04-Aug-2023,,8449.5,1390.5,-704.5,7890.0,7069.5,7924.0,6813.0,2026-06-01 16:00:25,value
BSE,BSEEQN,4069.0,-1.86,3556913,3556913,14549481488.24,4146.1,10-Jul-2026,,4446.8,2021.5,-77.1,4180.0,4066.6,4198.0,4031.9,2026-06-01 16:00:25,value
ATGL,ATGLEQN,733.0,-5.21,19243521,19243521,14531744883.15,773.3,12-Jun-2026,,859.85,462.8,-40.3,784.0,733.8,803.4,728.0,2026-06-01 16:00:25,value
RELIANCE,RELIANCEEQN,1320.2,-0.08,10700603,10700603,14170915558.93,1321.2,05-Jun-2026,,1611.8,1290.0,-1.0,1332.5,1320.0,1335.5,1318.5,2026-06-01 16:00:25,value
APOLLO,APOLLOEQN,404.0,-1.22,31964502,31964502,13326320528.82,409.0,08-Sep-2025,,433.8,162.34,-5.0,410.55,404.15,429.8,398.7,2026-06-01 16:00:25,value
ICICIBANK,ICICIBANKEQN,1238.6,-1.42,9911975,9911975,12343878066.25,1256.4,12-Aug-2025,,1500.0,1187.6,-17.8,1257.1,1239.7,1261.9,1235.9,2026-06-01 16:00:25,value
BHARTIARTL,BHARTIARTLEQN,1807.0,-1.2,6391656,6391656,11601558722.16,1829.0,18-Jul-2025,,2174.5,1740.5,-22.0,1830.0,1810.6,1842.0,1803.9,2026-06-01 16:00:25,value
HFCL,HFCLEQN,181.98,1.13,61616434,61616434,11302918652.96,179.94,08-Sep-2025,,189.08,59.82,2.04,180.0,182.28,188.0,178.01,2026-06-01 16:00:25,value
ADANIPOWER,ADANIPOWEREQN,232.9,-4.3,46168552,46168552,10927634572.88,243.37,22-Sep-2025,,254.2,105.42,-10.47,245.0,232.3,245.69,231.75,2026-06-01 16:00:25,value
SBIN,SBINEQN,954.5,-1.03,11118975,11118975,10665876768.75,964.4,15-May-2026,,1234.7,781.7,-9.9,966.25,954.1,970.25,950.1,2026-06-01 16:00:25,value
POWERINDIA,POWERINDIAEQN,36355.0,-5.44,279448,279448,10331555842.4,38445.0,13-Aug-2025,,38785.0,16111.0,-2090.0,38700.0,36380.0,38785.0,36225.0,2026-06-01 16:00:25,value
MCX,MCXEQN,2894.7,-2.02,3492170,3492170,10167662485.2,2954.5,02-Jan-2026,,3480.0,1292.9,-59.8,2967.0,2890.5,2987.5,2875.7,2026-06-01 16:00:25,value
JPPOWER,JPPOWEREQN,18.84,-13.85,504618192,504618192,9890516563.2,21.87,26-Aug-2024,,27.7,13.15,-3.03,21.99,18.79,21.99,18.52,2026-06-01 16:00:25,value
