symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
FACT,FACTEQN,873.9,11.43,34307227,34307227,30534118174.54,784.25,19-Sep-2025,,1058.6,652.1,89.65,805.0,876.1,920.0,800.0,2026-08-25 16:00:29,value
HINDCOPPER,HINDCOPPEREQN,531.4,-7.45,44652248,44652248,23913957938.88,574.15,13-Feb-2026,,760.05,226.7,-42.75,542.0,532.65,551.85,529.35,2026-08-25 16:00:29,value
IDEA,IDEAEQN,15.19,7.96,1534470198,1534470198,22863605950.2,14.07,20-Aug-2024,,15.34,6.46,1.12,14.09,15.19,15.31,14.08,2026-08-25 16:00:29,value
PAYTM,PAYTMEQN,1718.0,5.82,10111331,10111331,16955084274.04,1623.5,,,1718.0,930.6,94.5,1622.7,1718.0,1718.0,1612.0,2026-08-25 16:00:29,value
SAIL,SAILEQN,184.59,2.75,68905208,68905208,12713010876.0,179.65,08-Sep-2025,,209.7,118.1,4.94,180.7,184.59,186.89,180.3,2026-08-25 16:00:29,value
HDFCBANK,HDFCBANKEQN,727.5,-0.21,17511874,17511874,12697509599.92,729.0,19-Jun-2026,,1020.5,715.1,-1.5,726.6,727.5,728.7,722.0,2026-08-25 16:00:29,value
ICICIBANK,ICICIBANKEQN,1422.7,0.54,7983249,7983249,11339726209.56,1415.0,03-Aug-2026,,1480.0,1187.6,7.7,1408.0,1422.7,1424.9,1408.0,2026-08-25 16:00:29,value
FMGOETZE,FMGOETZEEQN,531.1,9.88,20771319,20771319,11235414160.29,483.35,14-Aug-2024,,577.4,358.0,47.75,500.0,534.1,560.0,494.8,2026-08-25 16:00:29,value
GROWW,GROWWEQN,203.2,3.43,53203469,53203469,10785407235.68,196.47,,,227.2,112.0,6.73,196.4,203.01,205.21,196.11,2026-08-25 16:00:29,value
SBIN,SBINEQN,1048.0,0.82,9982723,9982723,10387622244.88,1039.5,15-May-2026,,1234.7,798.5,8.5,1036.0,1048.0,1048.0,1031.3,2026-08-25 16:00:29,value
NETWEB,NETWEBEQN,5295.0,-2.92,1906041,1906041,10062333526.38,5454.5,07-Aug-2026,,5813.0,2190.7,-159.5,5400.0,5273.5,5413.2,5191.0,2026-08-25 16:00:29,value
SHANKESH,SHANKESHEQN,95.2,-7.84,95704155,95704155,9699616109.25,93.0,,,111.0,94.0,-8.1,103.3,94.82,111.0,94.0,2026-08-25 16:00:29,value
ETERNAL,ETERNALEQN,331.0,1.18,29062006,29062006,9567793615.32,327.15,,,368.45,212.6,3.85,330.0,331.0,331.0,325.5,2026-08-25 16:00:29,value
RELIANCE,RELIANCEEQN,1317.0,0.55,7115355,7115355,9291870940.95,1309.8,05-Jun-2026,,1611.8,1249.8,7.2,1304.3,1317.0,1317.1,1300.0,2026-08-25 16:00:29,value
INFY,INFYEQN,1144.0,1.24,8121237,8121237,9152309249.52,1130.0,10-Jun-2026,,1728.0,982.4,14.0,1132.0,1144.0,1144.0,1119.9,2026-08-25 16:00:29,value
DHOOTTRANS,DHOOTTRANSEQN,1527.0,5.79,5545253,5545253,8219173996.6,1443.4,,,1541.1,1131.0,83.6,1443.4,1521.75,1541.1,1410.1,2026-08-25 16:00:29,value
PARADEEP,PARADEEPEQN,159.75,6.93,51534295,51534295,8160970956.2,149.4,22-Aug-2025,,232.22,99.7,10.35,150.8,159.63,160.6,150.8,2026-08-25 16:00:29,value
DIXON,DIXONEQN,14990.0,2.88,522440,522440,7653683307.2,14570.0,16-Sep-2025,,18471.0,9600.0,420.0,14529.0,14990.0,14990.0,14400.0,2026-08-25 16:00:29,value
LALITHAA,LALITHAAEQN,250.25,0.73,29783775,29783775,7532912373.0,248.44,,,274.4,244.4,1.81,250.0,249.87,259.19,248.0,2026-08-25 16:00:29,value
BHARTIARTL,BHARTIARTLEQN,1947.0,0.62,3820206,3820206,7402756984.74,1935.0,24-Jul-2026,,2174.5,1740.5,12.0,1926.0,1947.0,1947.0,1923.4,2026-08-25 16:00:29,value
