symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,fetch_by
RELIANCE,RELIANCEEQN,1262.8,-2.18,16494759,16494759,20979683972.1,1291.0,05-Jun-2026,,1611.8,1259.2,-28.2,1277.0,1263.3,1282.6,1259.2,2026-06-08 16:00:29,value
HSCL,HSCLEQN,656.5,-4.17,26999921,26999921,17952247472.9,685.05,22-May-2026,,698.0,418.5,-28.55,680.0,667.2,692.15,633.8,2026-06-08 16:00:29,value
HDFCBANK,HDFCBANKEQN,738.0,-1.21,21550700,21550700,15912605866.0,747.05,19-Jun-2026,,1020.5,726.65,-9.05,738.0,738.65,741.5,734.5,2026-06-08 16:00:29,value
BSE,BSEEQN,3906.3,0.68,3952740,3952740,15477625435.8,3880.0,10-Jul-2026,,4446.8,2021.5,26.3,3812.5,3916.8,3957.0,3784.8,2026-06-08 16:00:29,value
ZEEL,ZEELEQN,110.1,-1.93,135948580,135948580,15460072517.6,112.27,29-Aug-2025,,151.7,68.0,-2.17,113.0,111.09,117.2,109.4,2026-06-08 16:00:29,value
TCS,TCSEQN,2149.4,-2.25,6536734,6536734,14108232992.2,2198.9,25-May-2026,,3538.0,2143.3,-49.5,2170.0,2151.4,2177.0,2143.3,2026-06-08 16:00:29,value
WIPRO,WIPROEQN,181.6,-8.45,75164049,75164049,13965480304.2,198.37,05-Jun-2026,,273.1,181.0,-16.77,193.39,181.76,193.89,181.0,2026-06-08 16:00:29,value
ICICIBANK,ICICIBANKEQN,1250.0,-0.96,10714196,10714196,13392423574.12,1262.1,12-Aug-2025,,1500.0,1187.6,-12.1,1246.4,1250.2,1254.0,1243.1,2026-06-08 16:00:29,value
NETWEB,NETWEBEQN,4277.0,-8.34,3047821,3047821,13358203226.27,4666.0,22-Aug-2025,,4965.0,1700.1,-389.0,4480.1,4264.5,4569.0,4232.3,2026-06-08 16:00:29,value
SBIN,SBINEQN,980.0,0.24,12895416,12895416,12654529629.12,977.7,15-May-2026,,1234.7,781.7,2.3,966.0,981.95,988.65,965.15,2026-06-08 16:00:29,value
SILVERBEES,SILVERBEESEQN,228.45,-6.21,50269894,50269894,11471589810.8,243.58,,,360.0,97.92,-15.13,229.05,227.93,232.94,225.2,2026-06-08 16:00:29,value
BHARTIARTL,BHARTIARTLEQN,1820.1,1.22,6324919,6324919,11423119959.95,1798.2,18-Jul-2025,,2174.5,1740.5,21.9,1775.1,1813.3,1820.1,1771.0,2026-06-08 16:00:29,value
OLAELEC,OLAELECEQN,45.02,0.31,254523598,254523598,11346661998.84,44.88,,,71.25,22.25,0.14,44.0,44.43,46.37,43.28,2026-06-08 16:00:29,value
EXICOM,EXICOMEQN,146.7,9.6,76275747,76275747,11333813246.73,133.85,07-Jul-2025,,208.65,75.6,12.85,131.7,150.53,154.32,129.06,2026-06-08 16:00:29,value
APOLLO,APOLLOEQN,406.75,-3.47,26242719,26242719,11003572076.7,421.35,08-Sep-2025,,446.9,162.34,-14.6,413.0,407.0,431.2,404.15,2026-06-08 16:00:29,value
INFY,INFYEQN,1187.0,-0.88,8631711,8631711,10268110771.38,1197.5,10-Jun-2026,,1728.0,1089.0,-10.5,1177.5,1187.6,1200.7,1176.5,2026-06-08 16:00:29,value
ADANIENSOL,ADANIENSOLEQN,1564.4,-0.92,6296050,6296050,10019785812.0,1579.0,14-Jun-2024,,1614.8,744.9,-14.6,1558.9,1570.4,1614.8,1535.1,2026-06-08 16:00:29,value
MCX,MCXEQN,2810.0,0.54,3497131,3497131,9840681834.83,2795.0,02-Jan-2026,,3480.0,1379.2,15.0,2721.0,2823.8,2850.0,2707.0,2026-06-08 16:00:29,value
NRBBEARING,NRBBEARINGEQN,428.0,10.98,20090586,20090586,8739204004.14,385.65,13-May-2026,,451.0,212.55,42.35,387.6,428.35,451.0,387.55,2026-06-08 16:00:29,value
MTARTECH,MTARTECHEQN,7059.0,-6.32,1148522,1148522,8192602674.74,7535.5,04-Aug-2023,,8449.5,1390.5,-476.5,7100.0,7052.0,7270.0,6926.0,2026-06-08 16:00:29,value
